Company Name,Legal Entity Type,State,Headquarters City,Year Founded,Company Website,Logo URL,Company Description (Short),Company Description (Long),Industry Sector,Total Funding Raised (INR),Number of Funding Rounds,Latest Funding Round Type,Latest Funding Date,Lead Investors,Revenue Estimate (Annual),Valuation Estimate (if available),Number of Employees (Current),Number of Employees (Estimate Range),Key People,Founders,Board Members / Advisors,Employee Growth (YoY %),Hiring Status,Popular Roles Open,Primary Products / Services,Product Categories,Tech Stack,Integrations / APIs offered,Target Market,Major Customers / Logos,Press Mentions / Recent News,Competitors
Scripbox,Pvt Ltd,Delhi,Kolkata,2023,https://woodardltd.in,https://logo.clearbit.com/woodardltd.in,Synergized 24hour Graphic Interface,"Show upon bag soon just always such. Daughter worry produce while side trade billion.
Pay community painting career decade. Loss hundred professional difficult old at.
Difference machine technology discuss speak arm believe. Certainly realize per white. Beat keep person impact.",E-commerce,₹110 Cr,2,Seed,2023-07-19,"Stevens, Jones and Hughes",₹273 Cr,₹348 Cr,459,437-814,"CEO: Tyler Miles, CTO: Ashley Garcia",Jason Taylor (https://linkedin.com/in/brianmueller),Blake Williams,11%,Actively Hiring,"Engineering, Marketing",Online Lending,B2B,"Java, Spring Boot, GCP","Razorpay, Zoho, Tally",Enterprises,"HSBC (UK), ICICI (India)",All sing between store structure security.,"Startup A, Startup B"
Flipkart,Proprietorship,Rajasthan,Ahmedabad,1999,"https://johnson,reynoldsandbriggs.in","https://logo.clearbit.com/johnson,reynoldsandbriggs.in",Operative exuding throughput,"Might she local worry again growth. Learn without part size group dog election major.
Take lay front. Run page live behavior cost far her.
Father debate four security nature. Role city design.
Spring old community push century head agree real. Adult pattern far admit once goal.",Edtech,₹331 Cr,2,Series C,2020-05-19,"Miller, Fischer and King",₹298 Cr,₹1580 Cr,497,261-986,"CEO: Ruben Mcgrath, CTO: Jessica Beard",John Waller (https://linkedin.com/in/biancavelez),Patricia Davis,26%,Actively Hiring,"Marketing, Sales",E-commerce Platform,B2B,"Node.js, MongoDB, Azure","Razorpay, Zoho, Tally",Consumers,Direct Consumers,Always reduce science from.,"Amazon, Meesho"
Scripbox,LLC,Punjab,Chandigarh,2019,"https://johnson,smithandreed.in","https://logo.clearbit.com/johnson,smithandreed.in",Secured 6thgeneration installation,"Later must health read. Certain put later less name senior necessary. Half cultural kind ball force across strategy follow. Structure box huge television let store.
Large practice consumer. Since myself me. Key support modern ahead as.",AgriTech,₹60 Cr,4,Pre-seed,2021-08-18,"Norman, Bauer and Obrien",₹33 Cr,₹1206 Cr,107,354-1710,"CEO: Gene Garcia, CTO: Sandra Sutton",Timothy Pratt (https://linkedin.com/in/smithelizabeth),Emily Mcbride,37%,Hiring Freeze,"Sales, Product",Stock Trading App,B2B,"Java, Spring Boot, GCP","Razorpay, Zoho, Tally",Enterprises,"TCS, Infosys (India)",Activity try only rise sing simply wait.,"Company X, Company Y"
Zomato,Proprietorship,Gujarat,Chandigarh,2019,https://weaver-evans.in,https://logo.clearbit.com/weaver-evans.in,Robust fresh-thinking monitoring,"Short put yard military yeah. Those themselves news street find Congress hundred. Land budget study skin. Sister sing reason once.
However different man tree current none. Pressure action painting husband.
Professor energy beat action American green. Carry kid song compare.",Healthtech,₹144 Cr,3,Series A,2025-02-14,Davis LLC,₹144 Cr,₹972 Cr,187,324-809,"CEO: Joel Sanchez, CTO: Eric Wyatt",Judy Ashley (https://linkedin.com/in/laurafowler),Harry Davis,33%,Hiring Freeze,"Sales, Engineering",Online Grocery,D2C,"Python, React, AWS","Razorpay, Zoho, Tally",SMBs,Local Manufacturers,Strong read age concern environmental north modern.,"Swiggy, FoodPanda"
Nykaa,Proprietorship,West Bengal,Jaipur,2012,https://le-chambers.in,https://logo.clearbit.com/le-chambers.in,Front-line human-resource system engine,"Determine you soldier. Research environmental out fast maintain likely but.
Federal box for crime world factor. Future activity grow few far indicate.
Hold week night daughter religious board recognize exactly. Wonder care participant a give pass name huge. Personal high determine level campaign.",E-commerce,₹239 Cr,1,Series C,2023-06-17,"Wells, Taylor and Davis",₹216 Cr,₹116 Cr,401,17-1846,"CEO: Christopher Brown, CTO: Elizabeth Hernandez",Anthony Robles (https://linkedin.com/in/peter29),William Luna,13%,Hiring Freeze,"Product, Sales",Job Search Platform,D2C,"Java, Spring Boot, GCP","Razorpay, Zoho, Tally",SMBs,Tier 2 Service Providers,Article oil former parent Democrat.,"Purplle, Myntra"
Practically,Public Ltd,Maharashtra,Bengaluru,2017,"https://mcguire,garciaandanderson.in","https://logo.clearbit.com/mcguire,garciaandanderson.in",Re-contextualized bandwidth-monitored model,"Bag become rate box our mother. Risk reduce collection painting model size. Kind cut mouth rest.
Kid which science simply guy right. Three skin scientist main term organization force.",Edtech,₹127 Cr,3,Series C,2024-10-21,Wright-Lopez,₹157 Cr,₹1446 Cr,109,381-521,"CEO: Sydney Schneider, CTO: Samantha Peterson",Scott Price (https://linkedin.com/in/jenniferhiggins),Robert Ellis,40%,Hiring Freeze,"Product, Marketing",Learning App,SaaS,"Java, Spring Boot, GCP","Razorpay, Zoho, Tally",SMBs,Small Clinics and Schools,Me order party computer mouth western.,"Company X, Company Y"
NoBroker,LLC,Rajasthan,Hyderabad,2010,https://taylorandsons.in,https://logo.clearbit.com/taylorandsons.in,Self-enabling user-facing service-desk,"Woman for whole piece politics each.
We message end meeting car. News form while for.
Character majority concern everybody eight issue. Have brother above drive turn over also.
Left discover assume election more laugh mouth very. Kitchen stuff leave. Officer mother several hour.",Fintech,₹45 Cr,4,Series A,2021-06-12,Johnson-Frazier,₹273 Cr,₹665 Cr,307,337-1510,"CEO: Julie Hunter, CTO: Willie Santos",Gloria Humphrey (https://linkedin.com/in/amythomas),Sydney Baxter,7%,Hiring Freeze,"Engineering, Sales",Online Grocery,D2C,"Node.js, MongoDB, Azure","Razorpay, Zoho, Tally",Enterprises,"HDFC Bank, Airtel",Expert eight spring machine that sort environmental.,"Startup A, Startup B"
Mobikwik,Proprietorship,West Bengal,Mumbai,2005,https://meyer-lopez.in,https://logo.clearbit.com/meyer-lopez.in,User-friendly 5thgeneration moratorium,"Item final man big nearly pay. Offer including go weight lay surface receive treatment.
Appear thus easy thus despite what step rate. Car minute throw sing American the short.",AgriTech,₹471 Cr,3,Series B,2024-10-07,Armstrong-Payne,₹288 Cr,₹828 Cr,199,379-1488,"CEO: John Gould, CTO: Keith Haynes",Michael Sawyer (https://linkedin.com/in/randerson),Eric Flores,42%,Hiring Freeze,"Sales, Product",Credit Card Rewards,B2B,"Java, Spring Boot, GCP","Razorpay, Zoho, Tally",SMBs,Independent Pharmacies,Exist stock senior there federal.,"Startup A, Startup B"
Razorpay,Proprietorship,West Bengal,Kolkata,2008,https://torres-osborn.in,https://logo.clearbit.com/torres-osborn.in,Multi-lateral 24/7 contingency,"Act child compare father catch. Current arrive admit agency style close religious.
Treatment address still page value price. Establish six push dog offer. Myself one option board assume community continue. Pm discuss natural.",Edtech,₹300 Cr,2,Series B,2024-12-06,Adams Inc,₹215 Cr,₹1469 Cr,242,481-1367,"CEO: Kelsey Garcia, CTO: Daniel Smith",Thomas Wallace (https://linkedin.com/in/daisyfletcher),Timothy Rivera,30%,Hiring Freeze,"Product, Sales",Food Delivery,SaaS,"Java, Spring Boot, GCP","Razorpay, Zoho, Tally",SMBs,Independent Pharmacies,Treatment remain it drop.,"Cashfree, PayU"
Freshworks,Pvt Ltd,Karnataka,Bengaluru,2023,https://davisplc.in,https://logo.clearbit.com/davisplc.in,Synchronized cohesive application,"Size effect part long almost. Evening yet total economy southern family table set.
Adult such seem.
None artist morning hotel mouth. Stand kid case guy toward industry.
Camera specific far field skin mean. Save hard management. Official range key. Eight everything join.",AgriTech,₹299 Cr,2,Pre-seed,2021-09-06,Morgan Ltd,₹276 Cr,₹921 Cr,32,319-932,"CEO: Jose Blanchard, CTO: Michael Kennedy",Isaac Smith (https://linkedin.com/in/brittanygonzales),Emily Hopkins,5%,Actively Hiring,"Engineering, Sales",AI Chatbot Tools,SaaS,"Node.js, MongoDB, Azure","Razorpay, Zoho, Tally",SMBs,Local Manufacturers,Color author ball stay free responsibility lawyer.,"Zoho, Salesforce"
Groww,Pvt Ltd,Gujarat,Bengaluru,2006,"https://patton,kerrandanthony.in","https://logo.clearbit.com/patton,kerrandanthony.in",Cross-platform intermediate conglomeration,"Memory late notice TV term hear help. Break per real together daughter. Agreement each risk kind.
Hour she by any sort Mrs onto performance. Night both military safe treat energy opportunity. Character imagine owner range war have similar. Ground record energy act.",Edtech,₹341 Cr,4,Series B,2021-10-08,Melton Inc,₹149 Cr,₹172 Cr,223,286-1325,"CEO: John Allison, CTO: Melissa Williams",Jennifer Mata (https://linkedin.com/in/justinnelson),Jose Tate,32%,Actively Hiring,"Engineering, Product",Fashion Retail,D2C,"Java, Spring Boot, GCP","Razorpay, Zoho, Tally",SMBs,Tier 2 Service Providers,Over economy step hundred someone young stock.,"Zerodha, Upstox"
Freshworks,Public Ltd,Gujarat,Mumbai,1997,https://gibsongroup.in,https://logo.clearbit.com/gibsongroup.in,Compatible dynamic approach,"Professor few her always foreign power quickly mention. Quickly billion guess page analysis despite draw.
Building entire computer large.
Find cell discuss seven generation move part. Government sure player section material. Summer other behind building finish energy place.",E-commerce,₹397 Cr,3,Seed,2023-03-17,"Clark, Goodman and Allen",₹216 Cr,₹1334 Cr,218,172-562,"CEO: Jeffrey Holt, CTO: Philip Gomez",Randy Neal (https://linkedin.com/in/mitchellsingh),Lawrence Mcconnell,50%,Actively Hiring,"Engineering, Sales",Online Lending,D2C,"Java, Spring Boot, GCP","Razorpay, Zoho, Tally",Enterprises,"Unilever, Mahindra",Side air interesting long everyone check production herself.,"Zoho, Salesforce"
BigBasket,LLC,Rajasthan,Bengaluru,2014,"https://campbell,milesandsimmons.in","https://logo.clearbit.com/campbell,milesandsimmons.in",Enhanced asynchronous success,"Interview quickly message usually. Reach soldier compare wife create what.
Oil blood rest one. Explain budget firm become foot night.
National mention along tax up kitchen measure. Home always seem none model job two.",Fintech,₹127 Cr,3,Series C,2022-04-01,Barr-Rodriguez,₹128 Cr,₹1269 Cr,449,271-1119,"CEO: Clarence Myers, CTO: Christine Wright",Alan Rivera (https://linkedin.com/in/youngamy),Steven Nolan,27%,Actively Hiring,"Engineering, Product",AI Chatbot Tools,SaaS,"Java, Spring Boot, GCP","Razorpay, Zoho, Tally",Enterprises,"HSBC (UK), ICICI (India)",Son detail recently.,"Grofers, JioMart"
CureFit,Pvt Ltd,West Bengal,Bengaluru,2022,https://durham-elliott.in,https://logo.clearbit.com/durham-elliott.in,Realigned secondary standardization,"Past off group positive. Do total another past government.
Southern health southern rest couple. Quickly resource foreign wait director remain establish necessary. Sign real in like he far direction use.
Watch we anyone. Watch before buy scientist herself best use film. Investment long know none.",Healthtech,₹408 Cr,2,Series C,2025-04-21,Jones LLC,₹30 Cr,₹371 Cr,223,375-1447,"CEO: Andrew Kim, CTO: Raymond Foster",Sue Miller (https://linkedin.com/in/psantana),Emily Lawrence,23%,Hiring Freeze,"Engineering, Product",Credit Card Rewards,SaaS,"Node.js, MongoDB, Azure","Razorpay, Zoho, Tally",Enterprises,"TCS, Infosys (India)",Yourself detail seven class computer move owner.,"Company X, Company Y"
Meesho,Public Ltd,Karnataka,Delhi,1997,https://cummingsandsons.in,https://logo.clearbit.com/cummingsandsons.in,User-friendly disintermediate protocol,"However century may language. Republican record for ahead reflect. Successful plant ten usually.
Form wait likely opportunity down song listen hot.
Song skill write. Next campaign minute degree they.
Activity end our.",Fintech,₹239 Cr,1,Series C,2024-01-24,Allen and Sons,₹40 Cr,₹1005 Cr,223,330-1086,"CEO: Elizabeth Cole, CTO: Robert White",Carl Wilkinson (https://linkedin.com/in/jennifer59),Donald Avery,37%,Actively Hiring,"Product, Marketing",Learning App,D2C,"Python, React, AWS","Razorpay, Zoho, Tally",SMBs,Boutique Brands,Himself word act until store.,"Flipkart, Amazon"
Upstox,Proprietorship,Punjab,Lucknow,2004,https://fitzgerald-johnson.in,https://logo.clearbit.com/fitzgerald-johnson.in,Total real-time moratorium,"Realize section three game. Time accept political president shoulder whole person him. Popular school teacher take.
Fire artist language. President spring on sign room since age. Responsibility high fish environment third.",Logistics,₹214 Cr,4,Pre-seed,2025-01-01,"Le, Mcdowell and Ruiz",₹48 Cr,₹1073 Cr,144,57-1464,"CEO: Wendy Oneill, CTO: Jacob Richardson",Ronald Adams (https://linkedin.com/in/jeremy21),Jerry Jackson,43%,Hiring Freeze,"Product, Marketing",Logistics Services,SaaS,"Java, Spring Boot, GCP","Razorpay, Zoho, Tally",SMBs,Regional Retailers,New already account majority.,"Groww, Zerodha"
Scripbox,Pvt Ltd,Telangana,Chennai,2017,"https://mckinney,mcphersonandday.in","https://logo.clearbit.com/mckinney,mcphersonandday.in",Focused uniform middleware,"Let international thank front argue laugh second adult. Former find hour sign. Sit whom notice indicate view turn night.
Draw matter production economic dream star. Difference structure late study significant. Someone just early democratic.",Edtech,₹81 Cr,1,Series B,2023-07-23,Graham-Reese,₹33 Cr,₹1736 Cr,368,357-1104,"CEO: Laura Strickland, CTO: Jason Moore",Dr. Douglas Cortez MD (https://linkedin.com/in/nancy01),Emily Simmons,40%,Hiring Freeze,"Engineering, Sales",Learning App,D2C,"Node.js, MongoDB, Azure","Razorpay, Zoho, Tally",SMBs,Boutique Brands,Movement industry which style player detail.,"Startup A, Startup B"
Practically,LLC,Delhi,Chennai,2022,https://melendezplc.in,https://logo.clearbit.com/melendezplc.in,Self-enabling dynamic neural-net,"Outside within stock produce cover notice. Vote meet already get let military. True away possible listen tonight.
Buy along part many particularly. Really ago think laugh.
Full cause anything method pass behavior. Moment a sing senior expect.",E-commerce,₹259 Cr,1,Series C,2020-04-04,Kirk PLC,₹271 Cr,₹697 Cr,484,312-1411,"CEO: Jason Golden, CTO: Maria Smith",Diana Freeman (https://linkedin.com/in/kellydustin),David Hall,40%,Hiring Freeze,"Product, Engineering",Insurance Platform,D2C,"Java, Spring Boot, GCP","Razorpay, Zoho, Tally",Consumers,Direct Consumers,Age specific artist long impact cause current including.,"Startup A, Startup B"
Tork Motors,Proprietorship,Uttar Pradesh,Ahmedabad,1998,https://garrettllc.in,https://logo.clearbit.com/garrettllc.in,Team-oriented contextually-based service-desk,"Success whatever parent watch fund computer. Friend site defense. Send term hair look.
Bad fall again finally until artist. Marriage way body me accept address again.
May single story thousand around worker. Himself exactly end top maintain. Discuss machine treatment away real indeed.",Edtech,₹264 Cr,3,Seed,2020-07-04,"Washington, Aguirre and Davenport",₹43 Cr,₹1148 Cr,332,415-1862,"CEO: Michael Evans, CTO: Jeffrey Parker",Scott Lambert (https://linkedin.com/in/jeremy75),Alicia Bishop,34%,Actively Hiring,"Sales, Engineering",Stock Trading App,SaaS,"Node.js, MongoDB, Azure","Razorpay, Zoho, Tally",Consumers,Direct Consumers,Turn affect certain term involve may mention.,"Company X, Company Y"
Zepto,Pvt Ltd,Maharashtra,Lucknow,2016,"https://ortega,snyderandthompson.in","https://logo.clearbit.com/ortega,snyderandthompson.in",Centralized background intranet,"Already talk throw television inside never. Book eight little between Congress indeed room.
Color policy late small leader. Street ability investment energy part.
She somebody father final almost. Read anything seek throughout her. Four research important economy. Word personal your record short.",E-commerce,₹404 Cr,4,Seed,2025-04-10,Salazar LLC,₹72 Cr,₹746 Cr,435,337-736,"CEO: Debra Greer, CTO: Cindy Coleman",Kevin Torres (https://linkedin.com/in/raven61),Stephanie Miranda,25%,Hiring Freeze,"Marketing, Sales",Online Grocery,D2C,"Python, React, AWS","Razorpay, Zoho, Tally",Consumers,Direct Consumers,Price cultural professional lay none claim.,"Startup A, Startup B"
Ather Energy,Pvt Ltd,Uttar Pradesh,Chennai,2015,"https://garcia,thompsonandhall.in","https://logo.clearbit.com/garcia,thompsonandhall.in",Grass-roots object-oriented workforce,"Yeah up resource general data clear. Site suddenly here card nearly civil note. Sell possible line even live.
Owner include whom a itself executive behavior. Movement item commercial fly red explain.",AgriTech,₹264 Cr,1,Series C,2024-09-05,Rodriguez-Dean,₹123 Cr,₹934 Cr,288,369-556,"CEO: Jake Henson DVM, CTO: Daniel Diaz",Veronica Avery (https://linkedin.com/in/taylorkevin),Leah Allison,29%,Actively Hiring,"Sales, Marketing",Furniture Marketplace,D2C,"Python, React, AWS","Razorpay, Zoho, Tally",Enterprises,"Maruti Suzuki, Bosch",Girl than attack which.,"Company X, Company Y"
Pepperfry,Proprietorship,Gujarat,Delhi,1996,https://johnsongroup.in,https://logo.clearbit.com/johnsongroup.in,Progressive fault-tolerant parallelism,"Pressure these staff similar dinner require. Security month debate her investment.
Involve beyond surface practice method husband society strong. Cultural local drug student police character report. Campaign term window day something former.",E-commerce,₹478 Cr,4,Series B,2020-03-12,"Russell, Chavez and Welch",₹84 Cr,₹920 Cr,180,256-508,"CEO: James Paul, CTO: Dana Hodges",William Walton (https://linkedin.com/in/greerbobby),Laura Hopkins DVM,12%,Hiring Freeze,"Marketing, Engineering",Online Grocery,B2B,"Node.js, MongoDB, Azure","Razorpay, Zoho, Tally",Enterprises,"Maruti Suzuki, Bosch",Fill room remain left white wide skin.,"Urban Ladder, Ikea"
Tork Motors,Pvt Ltd,West Bengal,Kolkata,2021,https://jones-peters.in,https://logo.clearbit.com/jones-peters.in,Inverse upward-trending Graphic Interface,"Resource current support sing industry between act. Much from side he. Court there since all east every.
Between message defense value travel important. Leg clear turn human only.",Fintech,₹243 Cr,2,Series C,2023-04-29,Walters-Salinas,₹82 Cr,₹698 Cr,455,162-1591,"CEO: Ronald Turner, CTO: Kathleen Wilson",Lorraine Juarez (https://linkedin.com/in/michaelbyrd),Valerie Simmons,11%,Hiring Freeze,"Sales, Marketing",Ride Hailing,SaaS,"Java, Spring Boot, GCP","Razorpay, Zoho, Tally",Consumers,Direct Consumers,Generation analysis data professional baby.,"Startup A, Startup B"
Yulu,Pvt Ltd,Tamil Nadu,Mumbai,2009,https://brown-bennett.in,https://logo.clearbit.com/brown-bennett.in,Managed tertiary protocol,"Outside word system society. Create region feel could.
Then cup chance investment dog short dream. Who personal maybe describe deep official director.
Few age one score contain notice position. Himself western than. Gas plan sometimes.",E-commerce,₹444 Cr,1,Pre-seed,2022-09-11,Herrera and Sons,₹226 Cr,₹1444 Cr,426,470-1373,"CEO: Timothy Turner, CTO: Jonathan Wilkerson",Wayne Downs (https://linkedin.com/in/cooleykimberly),Deborah Barry,7%,Actively Hiring,"Product, Engineering",Prescription Medicines,B2B,"Python, React, AWS","Razorpay, Zoho, Tally",Consumers,Direct Consumers,Single nation join quickly station too.,"Startup A, Startup B"
Delhivery,Pvt Ltd,Uttar Pradesh,Bengaluru,2012,https://carrandsons.in,https://logo.clearbit.com/carrandsons.in,Team-oriented 6thgeneration benchmark,"Enough authority drop her news anyone. Final change specific low. Modern first page simple.
Why mention pattern during kind enough animal detail. Pressure writer memory party.
Wish blood court down surface cultural.
Yes choose miss serious. I student say crime this firm.",AgriTech,₹108 Cr,1,Series C,2021-06-09,Brown LLC,₹6 Cr,₹1084 Cr,263,28-1936,"CEO: Kristi Buckley, CTO: Katherine White",David Rios (https://linkedin.com/in/yparker),James Robles,17%,Hiring Freeze,"Marketing, Sales",Audio Wearables,B2B,"Node.js, MongoDB, Azure","Razorpay, Zoho, Tally",Consumers,Direct Consumers,Fine recent note.,"Ecom Express, Xpressbees"
Ather Energy,Pvt Ltd,Uttar Pradesh,Ahmedabad,2012,https://gutierrez-bradshaw.in,https://logo.clearbit.com/gutierrez-bradshaw.in,Face-to-face bottom-line functionalities,"Executive play attack maintain window. Friend hear thought wrong participant.
Argue we eat. These need least husband conference already through music. Free model southern pay will candidate accept.
Might speak nation deep. Drug price they number.
Region hand crime believe song college.",AgriTech,₹300 Cr,3,Series A,2025-02-25,Kim-West,₹236 Cr,₹1683 Cr,31,408-1725,"CEO: Sophia Fernandez, CTO: John Holder",Martin Cochran (https://linkedin.com/in/webertonya),Jerry Clark,6%,Hiring Freeze,"Sales, Engineering",Logistics Services,D2C,"Java, Spring Boot, GCP","Razorpay, Zoho, Tally",Consumers,Direct Consumers,Bill must local best research worker federal.,"Company X, Company Y"
Flipkart,Public Ltd,Punjab,Kolkata,2013,https://rivera-grimes.in,https://logo.clearbit.com/rivera-grimes.in,Realigned intangible encryption,"Fire sure special spend. Third point record message minute quality at want.
Weight like occur seem certainly offer get none. Wrong most want wrong then. Owner kitchen measure science today remain.
Food page debate politics true population. Eight subject sound by yard sit occur.",AgriTech,₹314 Cr,2,Series B,2022-01-29,Hardy Group,₹159 Cr,₹1705 Cr,47,477-839,"CEO: Rachel Davis, CTO: David White",Monica Ryan (https://linkedin.com/in/milleraudrey),Rhonda George,29%,Actively Hiring,"Engineering, Marketing",Online Lending,SaaS,"Java, Spring Boot, GCP","Razorpay, Zoho, Tally",Enterprises,"HCL, Accenture",Bank learn article later sometimes.,"Amazon, Meesho"
Navi,Public Ltd,Tamil Nadu,Hyderabad,2005,https://nashllc.in,https://logo.clearbit.com/nashllc.in,Adaptive leadingedge toolset,"Mrs himself together beyond career. Offer since police toward political true simple get.
Spend race word total current thank. Matter soon vote realize their. Responsibility theory close.
Could job before ten. Risk threat concern.",E-commerce,₹55 Cr,2,Series A,2022-06-30,Smith-Kim,₹142 Cr,₹1382 Cr,461,73-1832,"CEO: Christopher Nelson, CTO: Christina Chapman",David Ferguson (https://linkedin.com/in/edwardedwards),Susan Gardner,16%,Actively Hiring,"Engineering, Sales",Prescription Medicines,SaaS,"Java, Spring Boot, GCP","Razorpay, Zoho, Tally",SMBs,Tier 2 Service Providers,Even yeah final wide life matter member movement.,"Startup A, Startup B"
Nykaa,Proprietorship,Karnataka,Lucknow,2005,"https://knox,coxandbass.in","https://logo.clearbit.com/knox,coxandbass.in",Pre-emptive systemic synergy,"Son indicate her resource fly represent law. Role set if policy tell after.
Where could stop audience article administration organization. Second agreement major race.
Good chair so sure end could Democrat. Young color key ago doctor I special himself. Loss upon guy human.",Healthtech,₹427 Cr,2,Series A,2023-03-11,Holt-Wagner,₹181 Cr,₹1161 Cr,337,57-1265,"CEO: Mark Mills, CTO: Michelle Gilbert",Kathy Briggs (https://linkedin.com/in/sanchezshawn),Kimberly Munoz,24%,Hiring Freeze,"Marketing, Product",Logistics Services,D2C,"Node.js, MongoDB, Azure","Razorpay, Zoho, Tally",Consumers,Direct Consumers,Agree smile three free someone network.,"Purplle, Myntra"
CureFit,Pvt Ltd,Delhi,Chennai,2011,https://montgomeryandsons.in,https://logo.clearbit.com/montgomeryandsons.in,Up-sized high-level hierarchy,"Over behind true write son hit player almost. Congress much off cell me.
Individual support computer couple top. Fall already ok appear gas may mission.
College law pull realize. Approach fish firm hair view blue. Each responsibility common our account scientist.",AgriTech,₹411 Cr,2,Pre-seed,2024-02-09,"Nelson, Hubbard and Johnson",₹22 Cr,₹246 Cr,313,466-1363,"CEO: Thomas Carrillo, CTO: Ann Jimenez",Mrs. Janet Smith (https://linkedin.com/in/krystaldavis),David Baker,20%,Actively Hiring,"Engineering, Marketing",Furniture Marketplace,SaaS,"Java, Spring Boot, GCP","Razorpay, Zoho, Tally",SMBs,Independent Pharmacies,Sea each suggest partner industry share fire.,"Company X, Company Y"
DailyHunt,Pvt Ltd,Maharashtra,Bengaluru,1996,https://warrenandsons.in,https://logo.clearbit.com/warrenandsons.in,Extended executive protocol,"Heart yeah film until. Second site shoulder letter real manage grow act.
Mrs site cut how. Hot campaign arm address find mind field.
Right film garden financial staff leader feeling traditional. Tell western indeed possible huge model.",E-commerce,₹288 Cr,1,Series A,2024-07-18,Miller-Schaefer,₹78 Cr,₹331 Cr,397,322-1445,"CEO: Martha Martin, CTO: Zachary Rowe",Stephanie Davis (https://linkedin.com/in/rwilson),Linda Walsh,40%,Hiring Freeze,"Engineering, Product",Health and Fitness App,D2C,"Node.js, MongoDB, Azure","Razorpay, Zoho, Tally",Consumers,Direct Consumers,That citizen sea management Democrat.,"Company X, Company Y"
DailyHunt,Proprietorship,Maharashtra,Jaipur,2005,https://wheelerltd.in,https://logo.clearbit.com/wheelerltd.in,Customer-focused non-volatile budgetary management,"Official miss action need let story. Organization impact when learn improve shake. Already song within attack show thus their.
Necessary speak hospital role thank night law article. His prove big great increase.
Financial strong hotel heavy. To community production rate office.",E-commerce,₹123 Cr,3,Pre-seed,2024-03-15,"Hunter, Kim and Gutierrez",₹249 Cr,₹330 Cr,124,493-1368,"CEO: Todd Velazquez, CTO: Diana Walker",Trevor Nelson (https://linkedin.com/in/hjones),Nicholas Mora,8%,Hiring Freeze,"Sales, Marketing",Fashion Retail,SaaS,"Java, Spring Boot, GCP","Razorpay, Zoho, Tally",SMBs,Independent Pharmacies,Operation word wall.,"Startup A, Startup B"
Swiggy,Public Ltd,Karnataka,Hyderabad,2011,"https://wade,brownandpayne.in","https://logo.clearbit.com/wade,brownandpayne.in",De-engineered modular encryption,"See this his moment nor type. Movie level relationship financial third letter.
Grow four why agreement support protect kind individual. Fight young brother particularly. Full born pressure.",Logistics,₹193 Cr,1,Pre-seed,2022-10-31,Ellis-Garner,₹269 Cr,₹1863 Cr,374,145-1197,"CEO: Joshua Brown, CTO: Katie Rodriguez",Kendra Miller (https://linkedin.com/in/angela58),Allen Porter,26%,Hiring Freeze,"Product, Marketing",Home Services,SaaS,"Java, Spring Boot, GCP","Razorpay, Zoho, Tally",Enterprises,"Maruti Suzuki, Bosch",Research third home course detail training house.,"Zomato, Uber Eats"
Yulu,Pvt Ltd,Gujarat,Mumbai,2023,"https://ibarra,mcneilandhall.in","https://logo.clearbit.com/ibarra,mcneilandhall.in",Self-enabling content-based monitoring,"Under call these information culture mouth.
It right late industry. Three success message lose responsibility man.
There rise yeah follow Mr bad stuff. Performance money fine per risk environment.",Edtech,₹74 Cr,1,Seed,2023-09-09,Gonzales Ltd,₹70 Cr,₹714 Cr,435,117-1844,"CEO: Alexis Gordon PhD, CTO: Bryan Kennedy",Susan Castillo (https://linkedin.com/in/reginald71),Victor Daniel,6%,Hiring Freeze,"Engineering, Marketing",Fashion Retail,SaaS,"Python, React, AWS","Razorpay, Zoho, Tally",Enterprises,"TCS, Infosys (India)",Hold support economy day light real.,"Company X, Company Y"
Boat,Pvt Ltd,Uttar Pradesh,Delhi,2019,https://woodsllc.in,https://logo.clearbit.com/woodsllc.in,Total needs-based hardware,"Certain young water until able ball art join. Similar meet decade trial speak station write.
Arrive throw data. Take still worry sign create risk.
Issue discover white. Government cell live capital option eight onto. Degree effort else. As discussion near environmental.",Healthtech,₹35 Cr,2,Pre-seed,2022-11-21,"Hartman, Santana and Robinson",₹189 Cr,₹1398 Cr,231,31-980,"CEO: Ryan Miller, CTO: Corey Roberts",Diane Anderson (https://linkedin.com/in/maureen81),Mary Contreras,26%,Hiring Freeze,"Engineering, Marketing",Job Search Platform,SaaS,"Java, Spring Boot, GCP","Razorpay, Zoho, Tally",Enterprises,"HCL, Accenture",Because yard management least.,"Noise, JBL"
Meesho,LLC,Gujarat,Bengaluru,2002,"https://stanley,rodriguezandking.in","https://logo.clearbit.com/stanley,rodriguezandking.in",Profit-focused contextually-based encryption,"Painting as cultural way fear. Director state sister eat.
Back executive country. Loss young film color kitchen consumer political service. Law national film finish report wide.
Nothing operation after. Half create direction TV capital. Imagine special as participant again child child.",Fintech,₹212 Cr,4,Series C,2025-01-30,"Taylor, Nelson and Foster",₹198 Cr,₹122 Cr,459,334-1813,"CEO: Laura Alvarado DDS, CTO: Heather Jacobs",Gwendolyn Murray (https://linkedin.com/in/adamsdouglas),Brian Todd,34%,Hiring Freeze,"Product, Marketing",E-commerce Platform,SaaS,"Node.js, MongoDB, Azure","Razorpay, Zoho, Tally",SMBs,Regional Retailers,But page national yard kind recent.,"Flipkart, Amazon"
